line_num,text,issue,corrected_text
5,"Mike Kosterlitz, Richard Stewardson and I left England on Friday evening 2iS June 1968, and reached the Val Bregaglia at dusk on Saturday.",possible OCR: digit/character substitution in date,"Mike Kosterlitz, Richard Stewardson and I left England on Friday evening 21 June 1968, and reached the Val Bregaglia at dusk on Saturday."
10,This climb lies on the big pillar forming the left hand part of the Hadile 's familiar Northeast face.,possible OCR: incorrect spacing around apostrophe and inconsistent directional capitalization/hyphenation,This climb lies on the big pillar forming the left-hand part of the Hadile’s familiar north-east face.
11,It was first climbed in 1953 and the only facts on record are that the climbing was largely artificial and the unfortunate Hattaglia was struck by lightning on the summit and killed.,possible OCR: character substitution in surname,It was first climbed in 1953 and the only facts on record are that the climbing was largely artificial and the unfortunate Battaglia was struck by lightning on the summit and killed.
23,"So when the joys of C' omo began to pall and our wallets to grow thin, instead of returning to Bondo we drove up the \ al Masino to the road end and tackled the 1400 m of ascent to the Gianetti hut.",possible OCR: corrupted characters in place name and inconsistent capitalization/spacing,"So when the joys of Como began to pall and our wallets to grow thin, instead of returning to Bondo we drove up the Val Masino to the road end and tackled the 1400 m of ascent to the Gianetti Hut."
24,"The guardian, Fiorelli, was suitably impressed when we mentioned the C' orti route and told us that it was, ' tutto chiodi ', and that it needed lots of ' cunei di legno '.",possible OCR: corrupted apostrophes/spacing in Italian words and names,"The guardian, Fiorelli, was suitably impressed when we mentioned the Corti route and told us that it was, ‘tutto chiodi’, and that it needed lots of ‘cunei di legno’."
36,"Still, it was midsummer, so we hoped, to get away without a bivouac.",possible OCR: misplaced punctuation interrupting infinitive structure,"Still, it was midsummer, so we hoped to get away without a bivouac."
51,"Just above my stance he climbed over three blocks jammed abreast, then over a frightening projecting flake, and with considerable skill avoided sending down any rock until he was well out of my line.",no significant OCR errors detected,"Just above my stance he climbed over three blocks jammed abreast, then over a frightening projecting flake, and with considerable skill avoided sending down any rock until he was well out of my line."
55,"He hauled the big sack as he 'd cleverly hauled his own, so I was able to enjoy it, using the rubbish at the back of the chimney as a sort of treadmill.",possible OCR: incorrect spacing in contraction,"He hauled the big sack as he’d cleverly hauled his own, so I was able to enjoy it, using the rubbish at the back of the chimney as a sort of treadmill."
59,IppriMirliiiiji tin slnp final sntimi on t/n l' i~ liatlilr,possible OCR: severe character corruption and word fragmentation,Approaching the steep final section on the Pilastro Badile
71,"I came up, impressed by the instability of some of the pegs and the general looseness of the area where Mike was belayed, but gratified to hear that this compared to A3 climbing in Yosemite.",no significant OCR errors detected,"I came up, impressed by the instability of some of the pegs and the general looseness of the area where Mike was belayed, but gratified to hear that this compared to A3 climbing in Yosemite."
