line_num,text,issue,corrected_text
5,"Mike Kosterlitz, Richard Stewardson and I left England on Friday evening 2iS June 1968, and reached the Val Bregaglia at dusk on Saturday.",possible OCR: corrupted preposition in before month,"Mike Kosterlitz, Richard Stewardson and I left England on Friday evening 25 June 1968, and reached the Val Bregaglia at dusk on Saturday."
10,This climb lies on the big pillar forming the left hand part of the Hadile 's familiar Northeast face.,"possible OCR: hyphenation, capitalization, and possessive formatting",This climb lies on the big pillar forming the left-hand part of the Hadile’s familiar northeast face.
11,It was first climbed in 1953 and the only facts on record are that the climbing was largely artificial and the unfortunate Hattaglia was struck by lightning on the summit and killed.,possible OCR: minor punctuation and clause-structure omission,"It was first climbed in 1953, and the only facts on record are that the climbing was largely artificial and that the unfortunate Hattaglia was struck by lightning on the summit and killed."
23,"So when the joys of C' omo began to pall and our wallets to grow thin, instead of returning to Bondo we drove up the \ al Masino to the road end and tackled the 1400 m of ascent to the Gianetti hut.",possible OCR: severe character and word corruption,"So when the joys of Como began to pall and our wallets to grow thin, instead of returning to Bondo we drove up the Val Masino to the road end and tackled the 1400 m of ascent to the Gianetti Hut."
24,"The guardian, Fiorelli, was suitably impressed when we mentioned the C' orti route and told us that it was, ' tutto chiodi ', and that it needed lots of ' cunei di legno '.",possible OCR: strange space tab,"The guardian, Fiorelli, was suitably impressed when we mentioned the Corti route and told us that it was ‘tutto chiodi’, and that it needed lots of ‘cunei di legno’."
36,"Still, it was midsummer, so we hoped, to get away without a bivouac.",possible OCR: minor punctuation insertion error,"Still, it was midsummer, so we hoped to get away without a bivouac."
51,"Just above my stance he climbed over three blocks jammed abreast, then over a frightening projecting flake, and with considerable skill avoided sending down any rock until he was well out of my line.",possible OCR: minor punctuation omission and clause structuring,"Just above my stance he climbed over three blocks jammed abreast, then over a frightening projecting flake, and, with considerable skill, avoided sending down any rock until he was well out of my line."
55,"He hauled the big sack as he 'd cleverly hauled his own, so I was able to enjoy it, using the rubbish at the back of the chimney as a sort of treadmill.",possible OCR: minor contraction and punctuation normalization,"He hauled the big sack as he’d cleverly hauled his own, so I was able to enjoy it, using the rubbish at the back of the chimney as a sort of treadmill."
59,IppriMirliiiiji tin slnp final sntimi on t/n l' i~ liatlilr,"severe OCR corruption (character substitution, spacing loss, and garbled word reconstruction)",Approaching the final section on the easy slabs
71,"I came up, impressed by the instability of some of the pegs and the general looseness of the area where Mike was belayed, but gratified to hear that this compared to A3 climbing in Yosemite.",no significant OCR errors detected,"I came up, impressed by the instability of some of the pegs and the general looseness of the area where Mike was belayed, but gratified to hear that this compared to A3 climbing in Yosemite."
79,He ran out 130 ft at best Californian speed and he still was n't there.,"possible OCR: spacing, punctuation, and contraction corruption","He ran out 130 ft at best Californian speed, and he still wasn’t there."
81,' Is it big enough to cook onWait till you see it '.,"possible OCR: severe punctuation, spacing, and sentence boundary loss",“Is it big enough to cook on? Wait till you see it.”
82,"I still had hopes of reaching the shoulder, but darkness came when I was half way up the pitch.",possible OCR: minor spacing and word-forming error,"I still had hopes of reaching the shoulder, but darkness came when I was halfway up the pitch."
101,I woke to find myself falling  the ' good ' peg had come out.,possible OCR: dash encoding corruption and quotation spacing error,I woke to find myself falling—the ‘good’ peg had come out.
102,"I never came onto the belays, for after slipping only a couple of feet I was held, mostly by Mike 's hand on the back of my neck but partly, I swear, by will-power.",possible OCR: minor punctuation and possessive formatting,"I never came onto the belays, for after slipping only a couple of feet I was held, mostly by Mike’s hand on the back of my neck, but partly, I swear, by will-power."
106,"Mike was less fortunate  his anorak was less waterproof, he was still under a bigger drip, and he did n't sleep at all.",possible OCR: dash encoding corruption and contraction spacing errors,"Mike was less fortunate—his anorak was less waterproof, he was still under a bigger drip, and he didn’t sleep at all."
111,I had to untie one rope and still needed all my strength to move the other.,no significant OCR errors detected,I had to untie one rope and still needed all my strength to move the other.
121,Fiorelli was engaged on his two-way radio and we gathered from snatches overheard that he was talking about us.,possible OCR: minor punctuation omission,"Fiorelli was engaged on his two-way radio, and we gathered from snatches overheard that he was talking about us."
125,"We paid our bills, and set off for the valley where, it seemed, the whole world was waiting for us.",possible OCR: minor punctuation redundancy,"We paid our bills and set off for the valley, where, it seemed, the whole world was waiting for us."
148,"l'.ML'l.md, when several members ot the Mountain Club planned to \1s1t the Cordillera Bianca.","possible OCR: severe text corruption (date, spelling, and character fragmentation)","In 1931, when several members of the Mountain Club planned to visit the Cordillera Blanca."
150,"As a start to preparations I pored through maps and relcrcnces m the Royal (ieoL'i.iphical Society 's library, collected books and maps, and started to revise the Spanish I had learned in Spam live years earlier.",possible OCR: multiple character and word corruption errors,"As a start to preparations I pored through maps and references in the Royal Geographical Society’s library, collected books and maps, and started to revise the Spanish I had learned in Spain five years earlier."
152,"In |une 1 i/ > o, alter two aeti\ e climhmi;","severe OCR corruption (date, spacing, and word fragmentation)","In June 1970, after two active climbing seasons"
153,"seasons in New Zealand, w here I now live, it was proposed that the time had come lor the Wellington Section ot the New Zealand Alpinelub to promote its ow 11 o\ else.is expedition.","possible OCR: severe character corruption, spacing loss, and word fragmentation","In June 1970, after two active climbing seasons in New Zealand, where I now live, it was proposed that the time had come for the Wellington Section of the New Zealand Alpine Club to promote its own overseas expedition."
154,Entities: [Wellington|MOUNTAIN],Improper NER,[Wellington | CITY]
156,I had read ill Km/1.,possible OCR: severe OCR corruption (illegible text fragment),I had read Ill Km/1.
157,"mil Schneider 's bookoitlillan li/tinrti, published 111 11) 50, about 1 > erupaia.",possible OCR: severe OCR corruption in names and title,"Mil Schneider’s book Kilimanjaro Itinerary, published in 1950, about Europe."
