line_num,text,issue,corrected_text
8,"Swenson originally attempted the route in 2001 with George Lowe, Joe Terravecchia, Steve Larson, Andy Tuthill and Eric Winkleman.",no significant OCR errors detected,"Swenson originally attempted the route in 2001 with George Lowe, Joe Terravecchia, Steve Larson, Andy Tuthill, and Eric Winkleman."
56,"Even so, the nature of the climbing gave the team little confidence in their ability to reach the summit, though it loomed just overhead.",no significant OCR errors detected,"Even so, the nature of the climbing gave the team little confidence in their ability to reach the summit, though it loomed just overhead."
67,"Finally, it is important to note that the expedition was undertaken adhering to strict environmental standards, deep respect for the communities of the Karakoram, and that the carbon footprint incurred by the expedition has been calculated and will be offset with the help of Protect Our Winters.",possible OCR: missing preposition and sentence structure degradation,"Finally, it is important to note that the expedition was undertaken adhering to strict environmental standards, with deep respect for the communities of the Karakoram, and that the carbon footprint incurred by the expedition has been calculated and will be offset with the help of Protect Our Winters."
69,The team would like to first and foremost thank their families and friends for supporting them in the endeavour to climb this peak.,no significant OCR errors detected,The team would like to first and foremost thank their families and friends for supporting them in the endeavour to climb this peak.
96,The rest of the range is almost completely neglected despite being full of tempting possibilities.,possible OCR: minor punctuation degradation,"The rest of the range is almost completely neglected, despite being full of tempting possibilities."
103,We flew onto the North Baird glacier from the fishing village of Petersburg on 30 April.,possible OCR: minor capitalization inconsistency,We flew onto the North Baird Glacier from the fishing village of Petersburg on 30 April.
120,The sun was now rising quickly in the sky and the stability of the slope was about to deteriorate fast.,possible OCR: minor punctuation insertion,"The sun was now rising quickly in the sky, and the stability of the slope was about to deteriorate fast."
143,Mount Phillips,no significant OCR errors detected,Mount Phillips
146,Conditions were challenging: few routes were in nick and just surviving on the hill was a challenge in itself.,possible OCR: minor punctuation omission,"Conditions were challenging: few routes were in nick, and just surviving on the hill was a challenge in itself."
164,I'd recently come across John Scurlock’s beautiful image of the north side of Mount Phillips in the Canadian Rockies on the Internet.,possible OCR: minor contraction and punctuation normalization,I’d recently come across John Scurlock’s beautiful image of the north side of Mount Phillips in the Canadian Rockies on the Internet.
165,"A quick Google search revealed that Mount Phillips was a 3,246m peak just to the north of Mount Robson.",possible OCR: minor spacing normalization in metric unit formatting,"A quick Google search revealed that Mount Phillips was a 3,246 m peak just to the north of Mount Robson."
166,"Even better, Phillips’ 600m north face appeared to be unclimbed.",possible OCR: minor metric spacing normalization,"Even better, Phillips’ 600 m north face appeared to be unclimbed."
167,The sharp-cut north spur dividing the north-east and north-west faces of the mountain was a compelling feature that simply had to be climbed.,no significant OCR errors detected,The sharp-cut north spur dividing the north-east and north-west faces of the mountain was a compelling feature that simply had to be climbed.
172,Scree and snow slopes led to a comfortable bivouac on the right flank of the Phillips glacier.,possible OCR: minor capitalization normalization,Scree and snow slopes led to a comfortable bivouac on the right flank of the Phillips Glacier.
186,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.',possible OCR: minor punctuation and quotation-mark removal,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.
191,I marvelled at his skill placing knife blades.,possible OCR: minor punctuation omission and clause clarity,I marvelled at his skill placing knife blades.
198,Steep and jagged peaks stretched all the way to the horizon holding countless possibilities for more adventures to come.,possible OCR: minor punctuation omission,"Steep and jagged peaks stretched all the way to the horizon, holding countless possibilities for more adventures to come."
204,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.,no significant OCR errors detected,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.
213,"Don and Phyllis Munday’s pioneering route up Waddington climbed the lower 3.5km of the west ridge to 3,300m and then followed the natural line of weakness up the Angel glacier to the north-west summit.","possible OCR: minor spacing, capitalization, and metric formatting normalization","Don and Phyllis Munday’s pioneering route up Waddington climbed the lower 3.5 km of the west ridge to 3,300 m and then followed the natural line of weakness up the Angel Glacier to the north-west summit."
215,"Unfortunately the Mundays did not have the firepower to continue to the main summit, which had to wait until 1936 when Bill House and Fritz Wiessner summited via the south-west face.",possible OCR: minor punctuation and hyphenation normalization,"Unfortunately, the Mundays did not have the firepower to continue to the main summit, which had to wait until 1936 when Bill House and Fritz Wiessner summited via the south-west face."
219,"Two weeks after our ascent of Mount Phillips, the rain stopped, the clouds cleared and the weather was finally good enough for Waddington.",possible OCR: minor punctuation normalization,"Two weeks after our ascent of Mount Phillips, the rain stopped, the clouds cleared, and the weather was finally good enough for Waddington."
228,Next day we traversed over the two Men-At-Arms summits and followed a spectacular corniced ridge over Bodyguard and Councillor peaks.,possible OCR: minor hyphenation and capitalization normalization,Next day we traversed over the two Men-at-Arms summits and followed a spectacular corniced ridge over Bodyguard and Councillor peaks.
243,Day four was another beautiful day but we were nearly turned back on the Summit Tower due to falling rime ice.,possible OCR: minor punctuation insertion,"Day four was another beautiful day, but we were nearly turned back on the Summit Tower due to falling rime ice."
263,"First ascent of North Spur, Mount Phillips (3246m), Canadian Rockies.",possible OCR: minor formatting and capitalization normalization,"First ascent of North Spur, Mount Phillips (3,246 m), Canadian Rockies."
266,"(Ian Welsted and Simon Richardson, 3 to 7 August 2019)",possible OCR: minor punctuation and date-range formatting normalization,"(Ian Welsted and Simon Richardson, 3–7 August 2019)"
271,"Ally and I sat in an empty hotel restaurant, the morning silence lingering peacefully under the high-vaulted ceiling.",no significant OCR errors detected,"Ally and I sat in an empty hotel restaurant, the morning silence lingering peacefully under the high-vaulted ceiling."
272,I looked around: empty tables and half-tucked chairs filled the room.,no significant OCR errors detected,I looked around: empty tables and half-tucked chairs filled the room.
278,I could still smell it on my clothes.,no significant OCR errors detected,I could still smell it on my clothes.
288,Will Sim had ‘re-discovered’ the Hindu Raj region.,possible OCR: minor quotation normalization,Will Sim had “re-discovered” the Hindu Raj region.
289,"Years of political instability and tension had closed this mountainous, and remote area to foreigners.",possible OCR: minor punctuation and adjective coordination normalization,Years of political instability and tension had closed this mountainous and remote area to foreigners.
292,"But Will’s curiosity and research secured a permit for autumn 2019, and he invited John Crook, Uisdean Hawthorn, Ally Swinton, and me to join.",no significant OCR errors detected,"But Will’s curiosity and research secured a permit for autumn 2019, and he invited John Crook, Uisdean Hawthorn, Ally Swinton, and me to join."
304,"As we journeyed further into the mountains, villages shrank in size and frequency to isolated hamlets.",no significant OCR errors detected,"As we journeyed further into the mountains, villages shrank in size and frequency to isolated hamlets."
333,"Unfortunately, Will and Uisdean were il and stayed at base camp.",possible OCR: minor spelling error,"Unfortunately, Will and Uisdean were ill and stayed at base camp."
334,"It was almost inevitable that some of our team would get sick, but we still felt for them; it was unfortunate to miss out on crucial acclimatisation.",no significant OCR errors detected,"It was almost inevitable that some of our team would get sick, but we still felt for them; it was unfortunate to miss out on crucial acclimatisation."
344,Will and Ally passed a book back and forth.,no significant OCR errors detected,Will and Ally passed a book back and forth.
354,"During acclimatisation, you’re still learning the mountain’s moods: you watch how clouds boil around the peak; you see where snow sticks to the face; and you stare as sunshine and shadow reveal new features.",no significant OCR errors detected,"During acclimatisation, you’re still learning the mountain’s moods: you watch how clouds boil around the peak; you see where snow sticks to the face; and you stare as sunshine and shadow reveal new features."
362,"Ally and I were motivated for the right-hand line but the climbing looked tricky: there was a possibility it was simply too hard, or we would be unlucky.",possible OCR: minor punctuation and clause parallelism correction,"Ally and I were motivated for the right-hand line, but the climbing looked tricky: there was a possibility it was simply too hard, or that we would be unlucky."
365,"Will, John and Uisdean chose the left-hand, north-east ridge: it looked fantastic, it would hopefully be easier and it would offer them more time to acclimatise.",possible OCR: minor punctuation and coordination normalization,"Will, John, and Uisdean chose the left-hand north-east ridge: it looked fantastic, it would hopefully be easier, and it would offer them more time to acclimatise."
366,I shared Will’s views about wanting to climb something.,no significant OCR errors detected,I shared Will’s views about wanting to climb something.
381,"Although the sun had spilled onto the face, I still grit- ted my teeth as blood returned to my toes.",possible OCR: minor word segmentation and verb-form error,"Although the sun had spilled onto the face, I still gritted my teeth as blood returned to my toes."
384,"On the second day, Ally led several brilliant mixed pitches up a chim- ney-gully system.",possible OCR: minor hyphenation and word segmentation correction,"On the second day, Ally led several brilliant mixed pitches up a chimney-gully system."
385,"Piece by piece, pitch by pitch, we answered more of our questions, filling in the blanks we’d noted when scanning the face.",no significant OCR errors detected,"Piece by piece, pitch by pitch, we answered more of our questions, filling in the blanks we’d noted when scanning the face."
410,"It felt like climbing at Gogarth’s Main Cliff, a place I'm very fond of, and Ibegan to relish our wild yet somehow familiar position.","possible OCR: minor spacing, contraction, and word-segmentation errors","It felt like climbing at Gogarth’s Main Cliff, a place I’m very fond of, and I began to relish our wild yet somehow familiar position."
424,"We enjoyed the easier ground but were still a long way from the true summit, which was further back from the peak we’d seen from base camp.",no significant OCR errors detected,"We enjoyed the easier ground but were still a long way from the true summit, which was further back from the peak we’d seen from base camp."
428,"It was as if the sky was tearing itself apart, huge white explosions illuminating thunder- heads and boiling clouds.",possible OCR: minor hyphenation and word-segmentation correction,"It was as if the sky was tearing itself apart, huge white explosions illuminating thunderheads and boiling clouds."
431,"Hoping to see the tracks of Will, Uisdean and John, we pushed on, but figured they must have turned back when we found none.",possible OCR: minor punctuation normalization,"Hoping to see the tracks of Will, Uisdean, and John, we pushed on, but figured they must have turned back when we found none."
442,"I held my breath in nervous expectation of suddenly falling into a slot; these crevasses looked like monstrous, soulless depths.",no significant OCR errors detected,"I held my breath in nervous expectation of suddenly falling into a slot; these crevasses looked like monstrous, soulless depths."
464,I knew Ally needed more medical attention than the single bandage and painkillers Icould offer him.,possible OCR: minor spacing and word-boundary error,I knew Ally needed more medical attention than the single bandage and painkillers I could offer him.
476,"The Pakistani helicopter crew loaded Ally on board at around 1pm and then came back for me 45 minutes later, flying to a small village where the air force had established a small fuel dump.",possible OCR: minor spacing and unit formatting normalization,"The Pakistani helicopter crew loaded Ally on board at around 1 pm and then came back for me 45 minutes later, flying to a small village where the air force had established a small fuel dump."
479,"We enjoyed a final meal with our agent and team, recounting wild stories of helicopters and hospitals, of Will and John waiting in a nearby airbase to rescue us as Uisdean packed up base camp to drive through the night.",possible OCR: minor punctuation and clause boundary confusion,"We enjoyed a final meal with our agent and team, recounting wild stories of helicopters and hospitals, of Will and John waiting in a nearby airbase to rescue us, as Uisdean packed up base camp to drive through the night."
481,"As we spilled onto the street, the moon shone over the city, a full lunar cycle completed during our month in the mountains, as we played the Great Game on Koyo Zom.",no significant OCR errors detected,"As we spilled onto the street, the moon shone over the city, a full lunar cycle completed during our month in the mountains, as we played the Great Game on Koyo Zom."
483,"Attempt on north-east ridge of Koyo Zom (6877m), four days to 6,000m, Will Sim, Uisdean Hawthorn and John Crook.",possible OCR: minor formatting and spacing inconsistencies in elevation notation,"Attempt on north-east ridge of Koyo Zom (6877 m), four days to 6,000 m, Will Sim, Uisdean Hawthorn and John Crook."
493,"Like a fifth or so of the buildings in the small village of Thangu, his hotel was indeed very broken.",possible OCR: character substitution and word choice degradation,"Like a fifth or so of the buildings in the small village of Thangu, his hotel was indeed very broken."
500,"The deep, jungle-covered and winding valleys of the foothills made for a grand and varied approach to the mountains.",no significant OCR errors detected,"The deep, jungle-covered and winding valleys of the foothills made for a grand and varied approach to the mountains."
509,"The highest point thus far, still a long way from the summit, was reached by a Japanese team in 1992.",no significant OCR errors detected,"The highest point thus far, still a long way from the summit, was reached by a Japanese team in 1992."
524,"The local people were much more interested in searching for caterpillar fungus, the famous yartsa gunbu much in demand in China as an aphrodisiac and cure-all.",possible OCR: minor punctuation and spacing inconsistencies,"The local people were much more interested in searching for caterpillar fungus, the famous yartsa gunbu, much in demand in China as an aphrodisiac and cure-all."
536,Suggestions that it was built for military purposes or to take yaks up to a yak racing ground were dismissed in favour of it being some kind of tourist trail.,no significant OCR errors detected,Suggestions that it was built for military purposes or to take yaks up to a yak racing ground were dismissed in favour of it being some kind of tourist trail.
551,"The next day dawned the same but, feeling the need to be in position at the foot of our intended line, we trudged up through the falling snow, pitched our little tent at the foot of the face and set the alarm for an early start.",possible OCR: minor punctuation degradation and missing commas,"The next day dawned the same, but, feeling the need to be in position at the foot of our intended line, we trudged up through the falling snow, pitched our little tent at the foot of the face, and set the alarm for an early start."
553,In the early hours it was still snowing and the temperature was clearly too warm for a good freeze.,possible OCR: minor punctuation omission,"In the early hours it was still snowing, and the temperature was clearly too warm for a good freeze."
563,With endless hours to waste we whiled away the time discussing laughable possibilities interminably.,possible OCR: minor punctuation omission,"With endless hours to waste, we whiled away the time discussing laughable possibilities interminably."
564,The weather still wasn't getting any better.,no significant OCR errors detected,The weather still wasn’t getting any better.
577,The expedition was dead in the water if we couldn’t reach the village of Thangu and getting foreigners there when Indian tourists were banned seemed an almost insuperable problem to us.,possible OCR: minor punctuation omission and clause separation error,"The expedition was dead in the water if we couldn’t reach the village of Thangu, and getting foreigners there when Indian tourists were banned seemed an almost insuperable problem to us."
585,"Approval from yet another senior official was secured, a special pass of some sort was granted, the guard at the army camp gate let us through and the villagers of Thangu couldn’t believe it when we arrived.",possible OCR: minor punctuation omission in serial clause structure,"Approval from yet another senior official was secured, a special pass of some sort was granted, the guard at the army camp gate let us through and the villagers of Thangu couldn’t believe it when we arrived."
630,"Much as the climbing itself had been a million miles away from the technical ground I love, we had reached 6,100m.",possible OCR: minor formatting inconsistency in metric notation,"Much as the climbing itself had been a million miles away from the technical ground I love, we had reached 6,100 m."
660,"Remarkably the pool was emptied with minimum spillage but in my enthusiasm to apply a new bag, I quickly wasted several of my carefully calculated stock.",possible OCR: minor punctuation omission,"Remarkably the pool was emptied with minimum spillage, but in my enthusiasm to apply a new bag, I quickly wasted several of my carefully calculated stock."
679,We discussed various possibilities but in truth we didn’t dither long.,possible OCR: minor punctuation omission,"We discussed various possibilities, but in truth we didn’t dither long."
682,"Particularly after the health challenges of the last couple of years,I had wanted to prove to myself that I could still climb great Himalayan objectives.",possible OCR: missing punctuation spacing,"Particularly after the health challenges of the last couple of years, I had wanted to prove to myself that I could still climb great Himalayan objectives."
684,"I was very aware of all the effort medical professionals had put into getting me back in good condition, not to mention the unfailing support of my family and Berghaus.",no significant OCR errors detected,"I was very aware of all the effort medical professionals had put into getting me back in good condition, not to mention the unfailing support of my family and Berghaus."
707,(Jerry Gore),no significant OCR errors detected,(Jerry Gore)
720,"My head and shoulders dropped, as my familiar low self-esteem fermented inside me.",no significant OCR errors detected,"My head and shoulders dropped, as my familiar low self-esteem fermented inside me."
734,It extends around the walls from floor to ceiling and when you walk in you feel totally enveloped in gloom.,possible OCR: minor punctuation omission,"It extends around the walls from floor to ceiling, and when you walk in you feel totally enveloped in gloom."
756,"The normal time to climb the north face is still two days, or even more, and consequently most climbers take bivy gear.",no significant OCR errors detected,"The normal time to climb the north face is still two days, or even more, and consequently most climbers take bivy gear."
763,"His maturity must have something to do with the death of his younger brother, who had been killed in a car crash some years before.",no significant OCR errors detected,"His maturity must have something to do with the death of his younger brother, who had been killed in a car crash some years before."
767,"I waited for questions about fitness, route conditions and partner ability (i.e. me).",no significant OCR errors detected,"I waited for questions about fitness, route conditions and partner ability (i.e. me)."
771,but it's still cold on the face to reduce rock fall and there's still sufficient snow and ice to make the climbing easier.,possible OCR: minor punctuation omission and capitalization inconsistency,"But it's still cold on the face to reduce rockfall, and there's still sufficient snow and ice to make the climbing easier."
781,"I wasn't fit, conditions were uncertain and I still had to learn the technicalities of 'speed climbing' rather than just climbing—a totally different affair as I was soon to find out.",possible OCR: minor punctuation omission and spacing inconsistencies,"I wasn't fit, conditions were uncertain, and I still had to learn the technicalities of ‘speed climbing’ rather than just climbing—a totally different affair, as I was soon to find out."
794,He made a huge difference to our attempt and I still feel deeply honoured that he gave me so much of his valuable time in helping me.,possible OCR: minor punctuation omission,"He made a huge difference to our attempt, and I still feel deeply honoured that he gave me so much of his valuable time in helping me."
804,Simplistically it is about ascending steep hills involving vertical height gains of 800m or more but over short horizontal distances.,possible OCR: minor punctuation omission and metric formatting inconsistency,"Simplistically, it is about ascending steep hills involving vertical height gains of 800 m or more but over short horizontal distances."
812,My long-suffering wife Jackie got on with the day-to-day business of running our company while dealing with my mood swings as my blood sugars began to oscillate.,no significant OCR errors detected,My long-suffering wife Jackie got on with the day-to-day business of running our company while dealing with my mood swings as my blood sugars began to oscillate.
826,My body was already com- plaining and injury is a real possibility for the over 50s.,possible OCR: word break and hyphenation corruption,My body was already complaining and injury is a real possibility for the over-50s.
866,It was already early evening and we still had a lot of prep before we could sleep.,possible OCR: minor punctuation omission,"It was already early evening, and we still had a lot of prep before we could sleep."
891,Now it was approaching that time and we all knew the sun would be hitting the upper snowfields releasing its deadly fusillade.,possible OCR: minor punctuation omission,"Now it was approaching that time, and we all knew the sun would be hitting the upper snowfields, releasing its deadly fusillade."
901,Was I still good enough to do this game?,no significant OCR errors detected,Was I still good enough to do this game?
912,Then I reflected on why I was here in the first place: raising money to help impoverished families with children who had type-1 diabetes.,possible OCR: minor hyphenation and medical terminology normalization,Then I reflected on why I was here in the first place: raising money to help impoverished families with children who had type 1 diabetes.
916,He was an eight-year-old boy I had met at a diabetes camp in the Philippines a year earlier.,no significant OCR errors detected,He was an eight-year-old boy I had met at a diabetes camp in the Philippines a year earlier.
